CATEGORY	TOKENS	NUM_WORDS	NUM_CAPITALS	NUM_PUNCTUATIONS
b	BMW CEO Calls for Diplomatic Solution to Russia-Ukraine Dispute	9	12	1
b	Why Did the Omnicom-Publicis Deal Fall Apart ?	8	7	2
t	NASA Astronauts Spacewalk To Fix ISS Computer Problem ( LIVESTREAM VIDEO )	12	28	2
t	Making Espresso In Space Will Soon Be As Simple As Brewing A Cup On Earth	15	15	0
e	Miley Cyrus Gets Restraining Order Against Alleged Stalker	8	8	0
e	'My Big Fat Greek Wedding ' Sequel In The Works From Nia Vardalos	13	12	2
e	Arnold Schwarzenegger attempts to show off his hip-hop moves with Joe ...	12	3	4
b	UPDATE 1-Colorado reaps $ 2.1 mln from first month of recreational pot sales	13	7	3
e	FIRST LOOK : Brad Pitt is a battle hardened soldier facing impossible odds in ...	15	11	4
m	Husbands and wives have similar DNA , research shows	9	4	1
t	AT & T Challenges Google in North Carolina With Fast Web Plans ( 2 )	15	11	3
b	AstraZeneca bid supports FTSE 100 despite ripples from Russian sanctions	10	7	0
e	Eva Longoria adds daring skin-showing section to demure dress for Foxcatcher 's ...	13	3	5
b	US Stocks Fluctuate as GE Offsets Google , IBM Miss	10	12	1
m	This Therapy Dog Helps Troops Deal With Post-Traumatic Stress	9	10	1
t	Microsoft First Out of the Xbox After China 's Ban Falls	11	8	1
b	Fitch Revises SEB 's Outlook to Positive ; Affirms ' A+ ' Rating	13	10	5
b	Sterling rallies , rate futures point to BoE hike before year end	12	3	1
t	Is Google CCTV coming to your living room ? Firm set to buy home security firm ...	17	7	4
b	US STOCKS-Wall St flat after six-day run amid mixed global data	11	10	2
b	' I Do n't Really Want To Embarrass The Coca-Cola Company '	12	10	4
b	UPDATE 2-SAC 's Steinberg gets 3-1/2 years prison for insider trading	11	10	4
b	CANADA FX DEBT-C $ at nearly 3-month high after Fed minutes	11	14	3
b	Pound Climbs to Nine-Week High Against Euro Before BOE Decision	10	12	1
b	UPDATE 3-PayPal fuels higher eBay revenue even as cyber attack , rivals weigh	13	9	2
b	Tax hike hits Japan business mood , but outlook upbeat : BOJ tankan	13	5	2
e	Paris Hilton , Adrienne Bailon and Eva Marcille lead the trend for daring white cut ...	16	6	4
b	UPDATE 1-Wounded Ukrainian mayor `` stable '' in Israeli hospital	10	9	3
m	Experimental Ebola drugs should be tried in Africa , disease expert says	12	3	1
b	GRAINS-Corn falls to 3-1/2 month low as weather favors US crops	11	9	3
b	GLOBAL MARKETS-Asia equities surge on Fed optimism , dollar wobbles	10	15	2
m	It 's Time to Harness the Power of the Pulpit	10	5	1
e	'We 're having a baby girl ! ' Robert Downey Jr. reveals he and wife Susan are ...	18	5	8
b	ECB policy , stress tests weighing on bank credit : BBVA	11	7	2
b	US STOCKS-Dow , S & P 500 end at record highs ; Internet names jump	15	12	4
b	INVESTMENT FOCUS-Press here , Mr Carney , for lower volatility ?	11	18	4
b	Chiquita combines with Fyffes to be top banana	8	2	0
b	Freeway reopens after beams fall into lanes	7	1	0
b	South Africa 's Credit Rating Cut to One Level Above Junk by S & P	15	11	2
e	Nick Cannon disses Kim Kardashian as he reminds the world he once slept with ...	15	4	3
b	UPDATE 2-Oracle looks to boost growth with biggest deal in 5 years	12	7	1
m	Think opposites attract ? Think again : Experts discover groups of friends are so ...	15	3	5
b	CORRECTED-UPDATE 1-Target names new CIO to oversee technology , security	10	19	3
b	UPDATE 2-BOC Aviation orders Boeing planes worth $ 8.8 bln	10	11	3
e	Ryan Gosling Reportedly Wanted Rachel McAdams Kicked Off The 'Notebook ' Set	12	12	2
e	Jessica Simpson Is Officially Married To Eric Johnson	8	8	0
e	How Rob Thomas Introduced 'Veronica Mars ' At SXSW	9	11	2
e	Jodie Foster marries girlfriend of one year Alexandra Hedison in secret ceremony	12	4	0
m	UPDATE 2-Fifty new Ebola cases and 25 deaths in West Africa - WHO	13	13	2
e	Miley Cyrus Denies Jennifer Lawrence 's Drunk Oscars Story : 'That Never ...	13	10	6
e	Kim Kardashian buys Calvin Klein outfit in TWO different colours	10	7	0
b	Is an Obamacare bailout worth BILLIONS on the horizon ?	10	10	1
b	UPDATE 4-US Fed bars shareholder payouts from Citi , 4 others	11	10	2
e	Miley Cyrus escapes injury as her tour bus bursts into flames	11	2	0
b	German Inflation Slows as ECB Prepares for Interest-Rate Meeting	9	10	1
b	Turkey 's President Abdullah Gul Calls Erdogan 's Twitter Ban Unacceptable	11	9	2
m	Sanjay Gupta Says Medical Marijuana Should Be Legalized Federally	9	9	0
b	CORRECTED-UPDATE 2-Target removes CEO in wake of devastating cyber ...	10	19	5
b	BoE 's Carney says worried UK mortgage underwriting standards could deteriorate	11	5	1
e	Drake goes undercover on Jimmy Kimmel to quiz people about himself	11	3	0
e	Selena Gomez Posts Cryptic Text Message To Instagram	8	8	0
b	US STOCKS-Futures point to flat open after GDP data , Citi falls	12	13	2
e	A 'Mrs . Doubtfire ' Sequel Is Happening	8	6	3
b	Putin Tilts to Asia as Russia Signs $ 400 Billion China Gas Deal	13	9	1
e	Gurlitt Wants to Return Nazi-Looted Art , Sueddeutsche Reports	9	8	2
b	GM 's Massive Recall Takes Bite Out Of Profit	9	9	1
b	Fiat Targets Doubling Profit by 2018 With Push for Upscale Cars	11	8	0
b	Cement makers Lafarge , Holcim agree merger plan -source	9	3	2
e	Revealed : Shia LaBeouf 'was banned from L.A. restaurant for urinating on a wall ...	15	6	7
b	Consumer prices rose just 1.5 percent for all of 2013 , down from 1.8 percent in ...	17	1	6
e	Zendaya To Play Aaliyah In Lifetime Biopic : Does Color Matter ?	12	10	2
t	Industry Sees Costly Rules After Obama Embrace of Climate Report	10	9	0
e	Civil partners Sir Elton John and David Furnish to wed in May ... but this time it 'll ...	19	7	7
e	Easter Week for Stoics : Why I Love Jesus But I 'm Kind of 'Meh ' About Easter	18	13	4
b	Move over Apple - Google is now the world 's biggest brand : Company valued at ...	17	4	6
e	Courtney Love Thinks She May Have Found Missing Malaysia Airlines Flight 370	12	11	0
m	Sick Red Robin Worker May Have Exposed As Many As 5000 People To ...	14	12	3
b	Market Structure Nightmare Comes True in Barclays Action	8	7	0
b	Libyan navy attacks ship carrying oil from rebel port ; PM sacked	12	3	1
e	Lea Michele Exposes Plenty In Totally Sheer Dress For 'Glee ' 100th Episode Party	14	12	2
b	Alibaba to buy SingPost stake for $ 249 mln to boost e-commerce logistics	13	3	2
b	Some Kashi , Bear Naked Products To Lose That 'All Natural ' Label	13	11	3
e	It 's star guffaws ! From a hero obsessed with 80s pop to a raccoon with a machine ...	19	2	5
b	UPDATE 1-Canadian auto sales set monthly record in May	9	8	1
e	Foxcatcher wrestles with demons at Cannes film festival	8	2	0
e	Arnold Schwarzenegger re-enacts famous lines in QVC spoof on Jimmy Fallon	11	7	1
e	Kim Kardashian and Kanye West wedding pictures show them saying vows in ...	13	4	3
e	Truth about my kiss with Gwyneth Paltrow , by Donovan Leitch	11	5	1
e	The Most Painfully Uncomfortable 'Bachelor ' Finale Ever	8	7	2
b	GLOBAL MARKETS-Dollar rises on higher US inflation ; Fed could be more ...	13	17	5
e	Why The Latest Shocking 'True Blood ' Death Was All Sookie 's Fault	13	11	3
b	US STOCKS-Wall St rises on Citi earnings , data ; eyes on Ukraine	13	12	3
e	Nobel Prize-Winning Author Nadine Gordimer Died In South Africa	9	10	1
m	Alcohol link to premature birth : Just three drinks a week in early pregnancy can ...	16	2	4
e	Adam Driver May Play Han & Leia 's Dark Side-Loving Son In 'Star Wars ...	15	13	7
e	Who 's Paddy ?	4	2	2
b	Fed Funds Open at 0.07 % , Within Target Range , According to ICAP	14	11	4
b	PRECIOUS-Gold near 6-week low ; headed for first monthly decline this year	12	9	3
b	Traders pare bets on earlier 2015 Fed rate hike	9	2	0
t	Facebook Wants You To Ask , 'Hey , Girl , You Single ? '	14	9	6
b	Snapchat could be worth $ 10 BILLION : App in major funding talks with Alibaba a ...	17	10	5
b	COLUMN-China 's robust commodity imports boosted by stockpiling , financing ...	11	7	6
m	The Calorie Counts Of These 9 Chain Restaurant Meals Will Horrify You	12	11	0
b	FOREX-Dollar touches six-month high ahead of GDP and Fed tests	10	10	2
e	NYT 's Abramson Says She Feels 'Sting of Losing '	10	9	3
b	Americans Riding Public Transit At Highest Level Since 1956	9	8	0
b	Spanish , Italian bond yields tick higher before debt sales	10	2	1
b	Ex-P & G CEO McDonald Nominated to Head of Veterans Affairs	11	12	2
m	Three-parent babies 'could be a reality within two years ' after report finds ...	14	1	6
e	Chris Pine Drunken Driving : 'Star Trek ' Actor Pleads Guilty To DUI Charges In ...	16	15	6
m	New rivals to top diabetes drug Lantus show promise in studies	11	2	0
m	BREAKING : Wikipedia Is NOT A Doctor -- And A Study Confirms It	13	20	3
b	Health Care Law Changes Are Challenging The Obamacare Legacy	9	9	0
t	Vince Cable , the first man on MARS ? No , he 's just unveiling a red planet ...	19	7	7
e	Justin Bieber Compares Himself To James Dean , Should Have Probaby ...	12	10	4
b	Bank officer and Australian Bureau of Statistics employee arrested in $ 7 million ...	14	4	4
b	UPDATE 1-Total stops buying Novatek shares after MH17 shot down	10	10	1
b	UPDATE 1-ECB to wait for June measures to bite as inflation stays low	13	10	1
t	The First Windows XP Security Problem Microsoft Wo n't Fix	10	10	1
e	Kourtney Kardashian struggles to muster much enthusiasm as she arrives for ...	12	2	3
b	UPDATE 4-Argentina deposits debt payment , but US court blocks payout	11	9	2
t	Genghis Khan rose to power thanks to a period of wet and warm WEATHER	14	9	0
b	Raw data tracking last moments of missing flight MH370 that was used to ...	14	3	3
t	Octopus Mother Of The Year Has 8 Arms , Spends More Than Four Years ...	15	12	4
e	Kim Kardashian 's Barely-There Shirt Proves She 's Wedding-Ready In Paris	11	11	4
b	RPT-S.Africa stocks end lower after volatile session	7	5	2
e	Orlando Bloom reveals his desire to see son Flynn live in England	12	4	0
b	Gazprom in `` constructive '' South Stream talks with EU	10	5	2
e	Kate O'Mara , Dynasty star , dies aged 74 and Joan Collins leads tributes	14	6	3
b	US STOCKS-Wall St slips after six-day S & P run ; biotechs drop	13	12	4
b	Buffett Discloses $ 528.7 Million Verizon Bet	7	5	2
e	Late ( wedding ) Registration : Kim Kardashian may wed Kanye in secret before ...	15	5	6
b	Dollar Store Deal Is $ 556 Million Profit for Peltz , Icahn	12	8	2
b	July Jobs Report : First Impressions	6	5	1
b	China Regulators Said to Draft Plan for Bank Failure Risks	10	8	0
e	Mickey Rooney 's wife 'had not seen him for almost a year before he died ' and ...	18	2	6
e	Nicola Peltz stuns in figure-hugging heavenly white gown at European premiere ...	12	3	4
b	Iraq concerns lift top-rated euro zone bonds but Fed limits gains	11	2	1
b	Factbox : Alibaba 's IPO , fees among biggest for new listings	12	5	3
b	US Stocks Rise on Earnings , Deals as Dollar Advances	10	8	1
e	Christina Schwarzenegger 's steals the limelight from dad Arnold at premiere of ...	13	3	4
b	US STOCKS SNAPSHOT-Nasdaq tumbles ; S & P to end below key level	13	19	3
b	UPDATE 3-AT & T in talks to buy DirecTV for nearly $ 50 bln -sources	15	12	4
b	US STOCKS-Futures tick up ahead of jobs , growth data	10	9	2
t	Facebook Can Now Listen To Everything You Listen To	9	9	0
b	UPDATE 1-Under fire , Pfizer hits back as weighs next Astra move	12	9	2
b	Canada Should Withdraw Policy Stimulus as Slack Fades , OECD Says	11	12	1
t	UPDATE 1-Spacewalkers replace failed computer outside space station	8	7	1
m	CDC Recommends HIV Test That Can Detect Infection Up To 4 Weeks Faster	13	16	0
e	' I am so pleased and proud ' : Lorde to be sole curator of soundtrack for The ...	19	3	6
b	As More Supermarkets Go Premium , Whole Foods Tries to Go Budget	12	10	1
e	Pictured : The moment David Arquette proposes to Christina McLarty just SIX ...	13	10	4
b	UK to Fight for City of London in Court Clash With ECB	12	11	0
b	WRAPUP 8-Argentina says next bond payment 'impossible ' , default looms	11	7	4
m	UPDATE 1-Roche says wins priority review for Avastin in cervical cancer	11	8	1
b	VW calls Scania buyout offer `` attractive deal '' for shareholders	11	3	2
e	Olivia Palermo Is Married , And Her Dress Is A Must-See !	12	11	3
b	ECB goes on 300 million euro spending spree for bank watchdog	11	3	0
b	GRAINS-Wheat slides to 5-week low , corn drops for 4th session	11	7	3
b	CORRECTED-US journalism benefiting from 'game-changing ' investments -study	8	11	5
t	Apple Sued Over Vanishing Texts After IPhones Swapped Out	9	10	0
t	GM Recall Seen Missing Cobalts With Faulty Ignition Switch ( 1 )	12	10	2
e	The Voice 's Blake Shelton shares Adam Levine 's REAL phone number on Twitter	14	11	2
b	Yellen Avoids Specifying a Timetable for Interest-Rate Increase	8	7	1
m	UPDATE 1-Sanofi , Lilly pursue Cialis over-the-counter approval	8	9	4
b	Homeowners braced for interest rate hike as Bank of England says it is ...	14	3	3
m	With AIDS Vaccines , It 's Not `` If '' But `` How ''	14	11	6
e	Is Aereo Legal ? What the Supreme Court Is Deciding	10	8	1
b	Pfizer Is Abandoning Its Failed Attempt To Buy AstraZeneca	9	10	0
b	Tiffany 's Profit Tops Estimates on Higher Prices	8	6	1
e	Miley Cyrus ' Bangerz Tour Bus Bursts Into Flames	9	8	1
b	BAT Confronts Dying E-Cigarette Dilemma With Charge-on-the-Go	7	11	4
e	Game of Thrones wedding goes ahead without bloodshed	8	2	0
b	GRAINS-Soybean prices drop to 3-mth low , wheat rises for 2nd day	12	7	3
b	GE 's Alstom Bid Gains Steam as Hollande Not Opposed	10	9	1
b	UPDATE 3-ECB says measures will push inflation up , but money-printing still ...	13	9	6
b	PRECIOUS-Gold little changed above $ 1300 as Fed policy meet awaited	11	10	2
b	Weibo prices IPO at $ 17/ADS - underwriter	8	7	3
b	Consumer Credit in US Rose More Than Forecast in February	10	9	0
b	Economy shrank 2.9percent in first quarter of 2014 - the steepest decline since ...	14	1	5
b	Euro Slides on Germany as Spain Bonds Rise With Metals	10	8	0
b	UPDATE 2-US FAA review says Boeing 787 Dreamliner is safe	10	13	1
e	All aboard ! Kim Kardashian dons clinging black dress for boat ride with Kourtney ...	15	4	4
b	UPDATE 2-Alibaba picks US for IPO ; in talks with six banks for lead roles	15	12	2
m	How a healthy young heart could cut risk of Alzheimer 's : People with low blood ...	17	3	5
e	Picasso 's painting The Blue Room reveals hidden man beneath the surface	12	4	1
b	UPDATE 9-Oil falls on Libya port deal , despite US inventory drop	12	10	2
b	Herbalife Marketing Practices Said to Be Probed by FBI	9	9	0
b	RPT-UK to sell shares worth $ 6.9 billion in Lloyds Banking Group	12	8	3
e	Julia Roberts opens up about the tragic death of her half-sister Nancy in new ...	15	3	4
e	Marriage has n't tamed her ! Kim Kardashian exposes ample bosom in completely ...	14	3	5
e	This Is What It Looks Like When Miley Cyrus Rolls A Joint	12	12	0
b	US STOCKS-Wall St ends flat after six-day rally , energy rises	11	10	3
m	SARAH VINE : ADHD and why we working mums need to look in the mirror	15	13	1
b	Russia sees significant risks for EU gas supplies via Ukraine-Gazprom CEO	11	8	1
b	UPDATE 1-ICE says NYSE CEO to leave earlier than expected	10	16	1
b	UPDATE 4-Yahoo 's growth anemic as turnaround chugs along	9	7	2
e	Miley Cyrus could be in hospital for 27 days	9	2	0
e	Jon Favreau at the Writer 's Guild on Sunday . Photo by Jay	13	7	2
b	Investigation into American Apparel 's ex-CEO to wrap up soon	10	6	2
e	NBC 's Matt Lauer will remain on the show after his 'Today ' contract is extended ...	17	6	6
t	MOUNTAIN VIEW , Calif. ( AP ) — Trips down memory lane are now available on ...	17	16	7
b	UPDATE 1-Barclays to pay $ 280 million to settle mortgage bond claims	12	7	2
t	Mercedes recalls 252867 cars in US for tail light issue	10	3	0
b	TREASURIES-Yields rise as US consumer price inflation jumps	8	13	1
t	Amazon Says It Has No Netflix Killer Coming	8	8	0
e	Lena Dunham On The Love Advice That Landed Her Boyfriend Jack Antonoff	12	12	0
b	Walmart Strikes Deal That Will Hopefully Make Organic Food Cheaper	10	10	0
e	The Screwball Indie Murder Mystery You Always Wanted	8	8	0
b	Fed Minutes Release Day Portends Yield Rise , Deutsche Bank Says	11	10	1
b	CORRECTED-GLOBAL MARKETS-China stimulus hopes , calmer Ukraine lift ...	9	24	6
b	Vodafone agrees 7.2 bln euro deal to buy Ono	9	2	1
b	Fitch Affirms Landesbank Saar at ' A ' ; Outlook Negative	11	7	3
b	UPDATE 2-Microsoft CEO signals new course with Office for iPad	10	12	1
m	Sanofi , Regeneron cholesterol drug may cut heart risk , trial hints	12	2	2
e	Wedding Inspiration Fit For 'Game Of Thrones ' Super Fans	10	9	2
m	Gym told woman to wear more clothes because she was intimidating other ...	13	1	3
t	These Electric Cars May Replace Horse-Drawn Carriages In NYC	9	12	1
e	HR Giger Dead : Surrealist Artist Who Designed The Monster For The Film 'Alien ...	15	14	5
e	Stephen Colbert Strikes Back After Bill O'Reilly Calls Him A 'Fanatic '	12	12	3
e	Not a bum deal : Two male assistants rub sand on Kim Kardashian 's famous ...	16	4	5
m	Ebola Outbreak In Africa Could Take 2 To 4 Months To Contain , WHO Says	15	14	1
b	Will Target Turn to an Outsider in Search for Next CEO ?	12	9	1
e	James Franco will direct ex-girlfriend Ahna O'Reilly in Off-Broadway play after he ...	13	7	6
b	ECB , BoE say public intervention needed to revive stigmatised debt market	12	5	1
b	TREASURIES-Yields rise as stocks gain , Yellen optimistic on economy	10	12	2
b	Deals of the day- Mergers and acquisitions	7	2	1
b	US Treasury 5-Year Notes Extend Longest Drop This Year	9	10	1
b	ECB Seen Buying Assets Within a Year as Draghi Rate Cuts End	12	12	0
t	Daimler and Nissan invest $ 1.36 billion to develop , build small cars	13	2	3
t	Comcast Pitches Its Time Warner Deal as Boost to Innovation ( 1 )	13	8	2
b	UPDATE 2-US forces seize tanker carrying oil from Libya rebel port	11	9	1
t	WEB USERS SIDE-STEPPING RULING	4	26	1
b	Blackstone Quadruples Pinnacle Investment With $ 6.6 Billion Sale	9	7	2
b	UPDATE 1-New York Times publisher denies sexism , calls Abramson bad ...	12	10	5
b	Adidas Profit Misses Estimates on Currency Swings , Golf Drop ( 1 )	13	8	3
e	Brothers disappointed in HGTV ouster	5	5	0
b	Chevron defers comments on Apache , LNG projects to Friday call	11	6	1
b	Merkel Lauds Greek 'Step Toward Normalcy ' After Bond Sale	10	9	2
b	UPDATE 2-US law firm plans to bring suit against Boeing , Malaysia Airlines	13	11	2
t	Sunday Roundup	2	2	0
b	FOREX-Aussie slides against dollar , eyes on ECB speakers	9	9	2
t	ET Atari games found in landfill	6	3	0
b	UPDATE 2-Vodafone targets `` connected cars '' with Italian deal	10	8	3
b	Whole Foods cuts 2014 forecasts again as competition intensifies	9	2	0
b	Hong Kong Stocks Head for Month-Low , Reversing Gains	9	8	2
b	UPDATE 1-Coeure sets out contours of possible ECB asset-buy plan	10	10	2
m	REFILE-AstraZeneca fights to regain cancer market prominence	7	8	1
e	The Best Of The 'How I Met Your Mother ' Finale Recaps	12	11	2
e	BET Awards Honor Pharrell , Beyonce , Nicki Minaj And August Alsina	12	12	2
m	Smoking Bans Cut Premature Births And Child Asthma Attacks , Research Says	12	11	1
e	'Game Of Thrones ' Fans Thought They Spotted A Blooper , But No	13	11	3
t	GM Executive Says Google Could Be 'Competitive Threat '	9	9	2
e	Jennifer Lawrence Knew You Were Going To Think Her Oscars Trip Was An Act	14	14	0
m	Rare Twins Pictured Holding Hands After Birth In Ohio ( VIDEO )	12	14	2
b	Europe Stocks Rise With Emerging Markets as Bonds Decline	9	8	0
t	Facebook experiment finds that friends emotions affect ours even from a distance	12	1	0
b	Time Warner Beats Profit Estimates on 'Lego Movie , ' TV Fees ( 1 )	15	10	5
b	Dollar Weakens Most in Two Weeks Versus Euro Before Fed	10	9	0
e	Neil Patrick Harris says he 's lost 22lbs for role in Broadway musical Hedwig And ...	16	6	4
b	Jessica Alba 's Honest Co. Raises $ 70 Million to Fund Growth	12	8	3
e	Stunning Photos Of Christians Observing Holy Week Around The World	10	10	0
b	Air Products appoints Rockwood 's Seifi Ghasemi CEO	8	8	1
b	China consumer prices rise , but industry deflation persists	9	1	1
b	Dollar takes heart from ADP report , jobs data next test	11	4	1
b	Vodafone 's Service Revenue Falls as European Markets Shrink ( 1 )	12	7	3
b	UPDATE 1-Cargill , citing shrinking cattle herd , to shut Wisconsin beef plant	13	8	3
b	UBS overhauls structure , offers investors extra cash	8	3	1
e	Hollywood Stars Promote 'Captain America ' on Beijing Red Carpet	10	8	2
e	Monday , April 7 , 2014	6	2	2
m	Is This The Reason America Keeps Gaining Weight ?	9	8	1
b	WRAPUP 1-For Goldman Sachs and Morgan Stanley , boring is beautiful	11	11	2
e	The top films at the North American box office	9	3	0
b	GLOBAL MARKETS-M & A talk lifts European shares , euro dips to two-week low	14	16	4
b	Twitter Blocked in Turkey Amid Sons of Thieves Leaks	9	7	0
b	Yellen Says Fed Committed to Policies to Support Recovery	9	7	0
b	Fast-Food Protests Expected In More Than 30 Countries	8	8	1
b	Cottage Cheese Recall Issued By Kraft Foods After Manufacturing Mishap	10	10	0
b	PetroChina , Utilities Stand to Gain From Russia Gas Deal ( 1 )	13	9	3
e	Aereo 's Day in Court Wo n't End TV as We Know It	13	10	2
t	Two earthquakes hit Icelandic volcano prompting fresh fears of aviation chaos	11	2	0
e	Angelina Jolie Effect : Doctors warn over worrying rise in double mastectomies	12	4	1
b	Yen Rises to 4-Month High Versus Euro on BOJ Policy Bets	11	11	1
t	Google Brings Android to Smartwatches in Mobile Push	8	6	0
b	Kroger to Buy Vitacost for $ 280 Million	8	4	1
b	CBO : Obamacare Will Cost Less Than Projected , Cover 12 Million Uninsured ...	14	12	5
e	8 Ways Gwyneth Paltrow 's Divorce Will Be Superior To Yours	11	9	1
b	WRAPUP 3-BOJ offers brighter view on economy , dashes near-term policy ...	12	9	6
b	FOREX-Euro slides below $ 1.34 , eyes on Fed and US GDP	12	12	4
e	One Direction Members Smoke Weed In Leaked Video	8	8	0
t	* Air bags may explode , shoot shrapnel inside cars	10	1	2
m	Diners may have been exposed to hepatitis A at La Fontana in New York	14	6	0
b	Shares of China 's JD.com soar 17 pct in market debut	11	4	2
m	Stem Cell Researcher Accused Of Falsifying Data & Images	9	8	1
e	Khloe Kardashian 's beau French Montana pleads guilty to driving his Rolls ...	13	5	4
b	Hertz Will Spin Off Equipment Rental Unit to Focus on Cars ( 2 )	14	9	2
b	North Dakota Production Tops 1 Million Barrels a Day	9	7	0
e	Kim Kardashian 's Wedding Dress Is As Stunning As We Expected It To Be	14	13	1
b	CBO : Obamacare Will Cost Less Than Projected , Cover 12 Million Uninsured ...	14	12	5
b	Bitcoin Charges Against Florida Man May Proceed , Judge Rules ( 1 )	13	9	3
e	Jennifer Lopez showcases ample cleavage on A.K.A . album cover	10	5	3
b	FOREX-Dollar steadies before Yellen and ADP data , sterling shines	10	10	2
e	George RR Martin Releases New 'The Winds Of Winter ' Chapter	11	11	2
b	FOREX-Euro off highs ahead of ECB ; Aussie buoyed by upbeat data	12	10	2
e	'Edge Of Tomorrow ' Is The Right Kind Of Rerun	10	9	2
b	European Bonds Advance , Led by Portugal , Amid Deflation Concern	11	8	2
e	NEW YORK ( AP ) — People magazine has named Lupita Nyong ' o as the ...	17	12	6
e	L'Wren Scott 's Death Ruled A Suicide By NYC Officials	10	12	2
e	Kim Kardashian And Katie Couric End Feud , Pose Together At Hamptons Party	13	12	1
e	Celebrities Look A Bit Different At Their First Tribeca Film Festival	11	11	0
e	'God help us ! ' : Lily Allen is to join Miley Cyrus on her Bangerz tour in the US to ...	22	8	7
b	Mersch Says ECB Preparing QE to Be Ready to Counter Deflation	11	12	0
m	After Long Search , Scientists Find Protein That Lets Sperm And Egg Hook Up ...	15	13	4
b	UPDATE 2-Russian troops preparing to leave Ukraine border area	9	8	1
b	FOREX-Euro steadies , kiwi hits 2-1/2 year high	8	6	4
b	RPT-Fitch Affirms Pan Asia Banking Corporation at 'BBB ( lka ) '/Stable	12	13	6
b	UPDATE 1-AT & T CEO says DirecTV to negotiate NFL deal independently	12	18	2
b	US Treasury urges Congress to act on corporate tax dodge deals	11	4	0
b	Zillow CEO Coveted Trulia Since 2006 Before Chasing Deal	9	10	0
e	Scout Willis goes topless for New York stroll in audacious protest against ...	13	4	3
e	UPDATE 1-British PM leads tributes to UK film veteran Richard Attenborough	11	13	1
t	Microsoft shares flirt with dotcom-boom levels on iPad app report	10	2	1
b	Fiat Quarterly Profit Misses Estimates on Americas Drop	8	7	0
b	UPDATE 4-Brent oil hits fresh 1-month low under $ 110 in 7-day slide	13	7	4
b	Allergan Poison Pill Wo n't Be Triggered by Pershing Call	10	8	1
b	FOREX-Dollar dips in wake of jobs data ; ECB comments lift euro	12	9	2
e	Moms and Work : A Mother 's Day State of the Union	12	7	2
b	Amazon Adds Digital Comic Books to Its Content Super Team	10	9	0
b	Hong Kong Stocks Rise From Last Week 's Drop on Telecoms	11	9	1
b	Racy Subway poster for breast enhancement sparks MTA investigation	9	5	0
e	The First 'Orange Is The New Black ' Season 2 Trailer Is Finally Here And It 's ...	18	14	6
m	Wireless power inside the body could lead to a new era in 'electronic medicine '	15	1	2
b	UPDATE 1-IAC increases stake in Tinder -report	7	10	2
b	Caterpillar CEO Oberhelman 's pay fell 33 pct in 2013 -SEC filing	12	8	2
e	Kim Kardashian confirms that she 's NOT yet married to Kanye amid rumours they ...	15	6	4
b	BNY confirms still holding Argentina bond monies	7	4	0
e	Mila Kunis ' Pregnancy Cravings Make Her Whole Kitchen Reek	10	9	1
e	BET Awards Red Carpet 2014 : Gabrielle Union , Ashanti & More Step Out In ...	16	13	6
b	Qualcomm posts higher 2nd-quarter revenue but misses Street	8	2	1
b	Chrysler Pushes US Sales Streak to 50th Month on Jeeps	10	8	0
b	BOJ 's Kuroda sees no need to ease but wo n't hesitate if needed	14	4	2
b	FTSE gains on company updates , Barclays jumps	8	5	1
b	UPDATE 1-Lufthansa pilots start three-day strike over early retirement	9	7	2
e	Coldplay 's 'Ghost Stories ' Is Biggest-Selling Album Of 2014 So Far	12	10	4
m	'Do n't class e-cigarettes as tobacco - they could save millions of lives ' : Warning ...	17	2	9
b	S & P 500 Erases 2014 Gain as Tech Slide Worsens ; Treasuries Rise	14	9	2
e	'Pretty Little Liars ' Cast Heats Things Up For GQ Bikini Photo Shoot	13	13	2
e	Gary Oldman Makes Heartfelt Apology On 'Jimmy Kimmel Live , ' Calls Himself An ...	15	12	6
b	UPDATE 1-Germany 's Siemens presents long-awaited overhaul	7	8	3
b	UPDATE 2-UK to sell Lloyds Bank shares worth $ 6.9 billion	11	10	3
b	Sterling climbs vs euro after ECB signals it is ready to act	12	4	0
e	Captain America : The Winter Soldier :	7	5	2
b	Dollar awaits Yellen 's testimony , Draghi may check euro 's gains	12	3	3
b	PRECIOUS-Gold edges above $ 1300/oz as Russia sanctions hit equities	10	10	3
b	Wounded Ukrainian mayor 'stable ' in Israeli hospital	8	3	2
e	Shane Black Is Rebooting 'Predator '	6	5	2
e	Porn Star Belle Knox : 'Every Single Day Like A Nightmare '	12	10	3
e	Art , Mental Illness and Frances Bean Cobain	8	6	1
b	Weibo Gains in US Debut After Microblog IPO Priced Low	10	12	0
b	UPDATE 2-Putin pledges support for sanctions-hit Russian bank	8	8	2
b	FOREX-Dollar steadies after hitting lows , awaits Yellen and ADP data	11	10	2
e	Selena Gomez tries to avoid being spotted with Justin Bieber as they arrive at ...	15	4	3
e	Lena Dunham Apologizes For Molestation Joke On Twitter	8	8	0
b	UPDATE 1-Zynga names former Best Buy executive chief financial officer	10	9	1
b	Dollar declines as euro rides out inflation dip	8	1	0
m	Raw Oysters Spike US Rise in Bacteria Infections , CDC Says ( 2 )	14	12	3
b	UPDATE 3-BlackBerry reports better-than-expected results ; shares surge	8	8	4
e	No wonder she 's hiding under that hat ! Megan Fox keeps a low profile as she ...	18	3	5
